日期(年/月),單位,總發電量,總發電量_發電業,總發電量_發電業_抽蓄水力,總發電量_發電業_火力,總發電量_發電業_火力_燃煤,總發電量_發電業_火力_燃油,總發電量_發電業_火力_燃氣,總發電量_發電業_核能,總發電量_發電業_再生能源,總發電量_發電業_再生能源_慣常水力,總發電量_發電業_再生能源_地熱,總發電量_發電業_再生能源_太陽光電,總發電量_發電業_再生能源_風力,總發電量_自用發電設備,總發電量_自用發電設備_火力,總發電量_自用發電設備_火力_燃煤,總發電量_自用發電設備_火力_燃油,總發電量_自用發電設備_火力_燃氣,總發電量_自用發電設備_再生能源,總發電量_自用發電設備_再生能源_地熱,總發電量_自用發電設備_再生能源_太陽光電,總發電量_自用發電設備_再生能源_風力,總發電量_自用發電設備_再生能源_生質能,總發電量_自用發電設備_再生能源_廢棄物,總需要量,總需要量_總消費量,總需要量_總消費量_能源部門自用,總需要量_總消費量_能源部門自用_抽水用電,總需要量_總消費量_工業部門,總需要量_總消費量_運輸部門,總需要量_總消費量_農業部門,總需要量_總消費量_服務業部門,總需要量_總消費量_住宅部門,總需要量_線路損失,總需要量_統計差異,台電系統平均負載(千瓩),台電系統尖峰負載(千瓩)
200001,百萬度,13602.245,11770.284,293.392,7744.468,4933.270,1740.175,1071.023,3558.910,173.514,173.514,0.000,0.000,0.000,1831.961,1712.187,1186.710,447.035,78.443,119.774,0.000,0.000,0.000,24.996,94.778,13602.241,12583.944,1300.679,380.909,6504.933,35.377,161.245,2354.426,2227.285,628.508,389.789,0.000,0.000
200002,百萬度,11997.789,10104.745,295.060,6356.051,3672.914,1831.890,851.247,3164.412,289.222,289.222,0.000,0.000,0.000,1893.044,1753.187,1247.845,433.117,72.225,139.857,0.000,0.000,0.000,24.607,115.250,11997.789,11729.269,1129.555,328.218,6016.544,36.663,168.704,2164.665,2213.137,540.412,-271.892,0.000,0.000
200003,百萬度,14186.038,11817.609,311.387,7974.022,4643.747,2089.825,1240.449,3125.995,406.206,406.206,0.000,0.000,0.000,2368.429,2210.963,1575.393,533.674,101.896,157.466,0.000,0.000,0.000,26.232,131.234,14186.035,13715.404,1208.114,308.217,7177.984,35.714,195.932,2510.601,2587.059,631.711,-161.081,0.000,0.000
200004,百萬度,14167.784,11813.758,329.972,8500.499,5093.689,2049.694,1357.116,2640.143,343.144,343.144,0.000,0.000,0.000,2354.026,2208.712,1676.774,459.543,72.396,145.314,0.000,0.000,0.000,26.068,119.246,14167.785,13613.752,1213.120,335.206,7068.246,36.038,179.838,2544.924,2571.587,632.041,-78.008,0.000,0.000
200005,百萬度,15943.048,13407.175,345.180,9539.204,5548.929,2569.571,1420.704,3092.071,430.720,430.720,0.000,0.000,0.000,2535.873,2378.330,1851.370,446.178,80.782,157.543,0.000,0.000,0.000,24.870,132.673,15943.047,14733.439,1339.389,364.869,7718.426,39.637,177.615,2892.824,2565.548,717.897,491.711,0.000,0.000
200006,百萬度,16924.070,14154.573,388.496,9687.205,5978.459,2358.890,1349.855,3607.578,471.294,471.294,0.000,0.000,0.000,2769.497,2611.532,2038.903,477.192,95.436,157.965,0.000,0.000,0.000,25.436,132.529,16924.073,15080.865,1414.080,385.443,7803.948,39.742,205.696,3025.527,2591.872,756.811,1086.396,0.000,0.000
200007,百萬度,18077.524,15140.618,410.570,10616.761,6461.501,2499.574,1655.686,3637.515,475.771,475.771,0.000,0.000,0.000,2936.906,2774.171,2170.117,504.419,99.635,162.735,0.000,0.000,0.000,28.027,134.709,18077.524,16231.475,1559.993,418.499,7689.953,39.943,204.610,3327.329,3409.647,806.493,1039.556,0.000,0.000
200008,百萬度,17553.876,14707.509,406.309,10325.043,6278.147,2563.598,1483.298,3486.883,489.275,489.275,0.000,0.000,0.000,2846.367,2704.420,2099.239,503.859,101.323,141.947,0.000,0.000,0.000,24.943,117.004,17553.876,16478.750,1508.721,430.042,7815.044,39.961,195.725,3317.643,3601.655,785.777,289.349,0.000,0.000
200009,百萬度,16246.257,13442.536,408.898,9633.820,6079.045,2073.616,1481.159,2920.725,479.093,479.093,0.000,0.000,0.000,2803.721,2642.634,2086.988,452.382,103.264,161.087,0.000,0.000,0.000,25.263,135.824,16246.254,16494.497,1497.457,429.668,7583.230,38.657,196.974,3444.062,3734.116,715.742,-963.985,0.000,0.000
200010,百萬度,16680.969,13973.329,403.973,10209.251,6051.802,2347.467,1809.982,3040.837,319.268,319.268,0.000,0.000,0.000,2707.640,2557.132,2022.306,442.436,92.390,150.508,0.000,0.000,0.000,28.810,121.698,16680.966,16446.433,1502.240,468.696,7958.284,41.198,204.818,3348.629,3391.265,747.710,-513.177,0.000,0.000
200011,百萬度,14844.528,12309.268,388.091,8753.710,5413.014,1901.207,1439.488,2768.453,399.015,399.015,0.000,0.000,0.000,2535.260,2407.045,1880.970,437.731,88.345,128.215,0.000,0.000,0.000,19.115,109.099,14844.524,15062.592,1435.842,420.660,7247.037,34.438,193.239,3083.896,3068.140,655.115,-873.184,0.000,0.000
200012,百萬度,14616.673,11989.099,328.831,7917.543,5088.252,1408.957,1420.334,3459.268,283.457,283.457,0.000,0.000,0.000,2627.574,2455.757,1964.667,399.390,91.700,171.817,0.000,0.120,1.383,23.649,146.665,14616.673,14332.954,1367.083,377.090,7282.853,37.968,177.687,2885.395,2581.968,638.459,-354.740,0.000,0.000
200101,百萬度,13424.966,10887.550,299.714,6727.125,4295.656,1402.464,1029.004,3547.547,313.165,313.165,0.000,0.000,0.000,2537.415,2379.921,1889.292,377.991,112.638,157.495,0.000,0.022,0.916,24.928,131.629,13424.959,13215.796,1357.636,372.694,6665.074,39.527,164.183,2596.053,2393.323,209.163,0.000,0.000,0.000
200102,百萬度,13264.207,10843.334,291.284,7302.204,4534.922,1530.489,1236.793,2890.002,359.844,359.844,0.000,0.000,0.000,2420.873,2287.773,1806.810,378.354,102.609,133.101,0.000,0.022,0.757,25.784,106.537,13264.204,12941.509,1308.108,369.486,6599.190,34.980,178.645,2372.386,2448.201,322.696,0.000,0.000,0.000
200103,百萬度,15077.824,12283.699,361.124,8955.539,5315.069,1909.466,1731.004,2636.372,330.664,330.664,0.000,0.000,0.000,2794.125,2635.721,2102.276,434.957,98.487,158.404,0.000,0.022,0.631,27.730,130.020,15077.820,14319.998,1359.914,433.387,7606.056,36.984,178.037,2613.201,2525.806,748.704,9.118,0.000,0.000
200104,百萬度,14966.491,12459.152,355.697,10068.078,6115.939,2137.467,1814.672,1604.992,430.384,430.384,0.000,0.000,0.000,2507.339,2354.045,1856.361,384.892,112.793,153.294,0.000,0.022,0.601,30.228,122.443,14966.490,13815.432,1499.312,442.024,7215.347,37.693,178.225,2549.760,2335.096,1151.058,0.000,0.000,0.000
200105,百萬度,16151.805,13733.806,368.469,10315.173,6930.939,2058.241,1325.993,2517.029,533.135,533.135,0.000,0.000,0.000,2417.999,2253.614,1707.250,428.351,118.013,164.385,0.000,0.022,0.391,25.066,138.905,16151.802,14672.090,1647.927,462.374,7328.112,39.478,183.569,2955.343,2517.660,2079.713,-600.000,0.000,0.000
200106,百萬度,17005.640,14341.663,330.701,9875.196,6544.931,1610.150,1720.114,3498.702,637.064,637.064,0.000,0.000,0.000,2663.977,2482.760,1936.613,428.248,117.899,181.217,0.000,0.022,0.147,32.329,148.719,17005.634,15492.888,1733.755,393.296,7643.545,40.861,191.246,3079.127,2804.354,1512.746,0.000,0.000,0.000
200107,百萬度,18361.447,15381.026,354.172,11133.640,6924.184,2219.096,1990.360,3272.826,620.388,620.388,0.000,0.000,0.000,2980.420,2747.404,2176.324,449.057,122.023,233.016,0.000,0.022,0.236,32.112,200.646,18361.444,16967.848,1731.633,408.783,7843.377,43.770,198.200,3640.494,3510.374,1393.597,0.000,0.000,0.000
200108,百萬度,19023.285,16067.876,374.990,11640.527,7024.347,2429.796,2186.384,3667.923,384.435,384.324,0.000,0.000,0.111,2955.409,2734.988,2163.104,463.637,108.247,220.422,0.000,0.022,0.115,16.314,203.971,19023.287,17012.103,1640.745,430.659,7681.179,40.624,206.073,3500.639,3942.843,0.000,2011.184,0.000,0.000
200109,百萬度,16031.824,13118.930,329.463,9502.174,6398.972,1689.579,1413.623,2825.499,461.794,461.072,0.000,0.000,0.722,2912.894,2657.657,2116.165,437.592,103.900,255.236,0.000,0.022,0.737,14.090,240.387,16031.824,16853.109,1501.666,384.393,7351.716,30.017,208.429,3550.580,4210.702,0.000,-821.285,0.000,0.000
200110,百萬度,15858.928,13052.348,368.415,9163.031,5634.365,1879.704,1648.962,3041.238,479.664,478.447,0.000,0.000,1.217,2806.580,2596.867,2095.051,387.884,113.933,209.713,0.000,0.022,0.987,27.430,181.274,15858.926,16294.166,1441.667,414.711,7818.138,35.198,184.560,3263.995,3550.607,0.000,-435.239,0.000,0.000
200111,百萬度,14633.320,11954.770,329.238,8297.509,5600.502,1299.939,1397.067,3019.897,308.126,307.001,0.000,0.000,1.125,2678.550,2483.676,2034.306,352.809,96.561,194.874,0.000,0.022,1.202,31.501,162.149,14633.314,14856.119,1445.764,420.510,7350.339,35.740,182.745,2899.188,2942.342,0.000,-222.805,0.000,0.000
200112,百萬度,14730.740,11950.364,315.840,8434.029,5838.346,868.963,1726.719,2964.394,236.101,234.810,0.000,0.000,1.291,2780.375,2523.650,2076.369,356.425,90.856,256.725,0.000,0.022,1.040,43.187,212.476,14730.736,14052.964,1401.125,413.186,6970.385,33.200,175.090,2998.239,2474.925,688.089,-10.317,0.000,0.000
200201,百萬度,14255.616,11456.500,311.289,7374.063,4982.777,1022.693,1368.593,3609.253,161.896,160.800,0.000,0.000,1.096,2799.117,2541.249,2062.112,376.036,103.101,257.868,0.000,0.023,0.856,44.004,212.985,14255.617,13982.368,1370.088,401.508,7285.470,39.558,167.467,2630.299,2489.485,693.878,-420.628,0.000,0.000
200202,百萬度,12382.364,10076.621,254.258,6358.279,4429.877,695.700,1232.702,3262.072,202.012,201.102,0.000,0.000,0.911,2305.743,2124.726,1638.546,414.316,71.864,181.017,0.000,0.025,0.769,37.358,142.865,12382.363,12047.756,1193.218,329.782,6029.770,34.791,144.951,2257.818,2387.209,459.519,-124.912,0.000,0.000
200203,百萬度,15342.705,12411.568,306.549,8607.326,5796.454,1010.901,1799.971,3262.313,235.381,234.694,0.000,0.000,0.687,2931.137,2766.320,2160.165,495.759,110.395,164.817,0.000,0.026,0.502,42.637,121.652,15342.705,14471.940,1461.537,390.651,7624.345,43.109,177.149,2654.055,2511.744,1088.693,-217.928,0.000,0.000
200204,百萬度,16169.426,13283.210,306.419,9850.308,6025.350,1470.077,2354.882,2929.053,197.429,196.892,0.000,0.000,0.537,2886.217,2705.202,2152.886,452.418,99.898,181.015,0.000,0.027,0.476,28.727,151.786,16169.423,14704.036,1458.023,402.121,7862.826,38.756,180.608,2727.578,2436.246,1447.735,17.652,0.000,0.000
200205,百萬度,17546.910,14568.525,297.314,11026.409,7060.766,1666.547,2299.096,3060.446,184.355,184.114,0.000,0.000,0.241,2978.385,2750.507,2170.081,487.895,92.531,227.878,0.000,0.028,0.255,33.630,193.965,17546.910,16319.748,1540.697,390.952,8480.349,42.453,212.220,3341.545,2702.484,1212.021,15.141,0.000,0.000
200206,百萬度,17907.170,14996.126,296.304,11029.588,7071.817,1628.561,2329.210,3448.848,221.386,221.168,0.000,0.000,0.218,2911.044,2659.621,2225.460,341.101,93.061,251.423,0.000,0.029,0.258,31.325,219.811,17907.166,16094.805,1494.713,399.275,7831.203,39.195,214.274,3366.416,3149.004,0.000,1812.361,0.000,0.000
200207,百萬度,19323.403,16244.811,312.684,11818.504,7488.071,1570.440,2759.993,3714.280,399.344,399.002,0.000,0.000,0.341,3078.591,2815.234,2309.774,404.850,100.610,263.358,0.000,0.029,0.287,35.047,227.995,19323.402,17435.656,1578.168,394.624,8522.499,44.855,192.269,3623.370,3474.496,1865.032,22.714,0.000,0.000
200208,百萬度,19578.594,16431.271,309.286,12067.995,7773.555,1601.873,2692.566,3728.565,325.425,325.167,0.000,0.000,0.258,3147.323,2878.577,2319.362,429.607,129.608,268.746,0.000,0.029,0.159,33.312,235.246,19578.592,18215.067,1752.672,392.712,8469.386,43.651,219.547,3737.146,3992.665,1392.822,-29.297,0.000,0.000
200209,百萬度,17470.478,14474.646,240.498,10734.640,7395.824,1107.426,2231.390,3217.200,282.308,281.769,0.000,0.000,0.539,2995.833,2727.776,2195.964,415.448,116.364,268.057,0.000,0.033,0.526,30.688,236.810,17470.479,17976.200,1500.984,313.719,7986.068,39.886,213.918,3832.276,4403.069,0.000,-505.722,0.000,0.000
